Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-15,105,-0.360128,0.0564906,
-15,107.5,-0.37418,0.100549,
-15,110,-0.353556,0.115751,
-15,112.5,-0.247063,0.102551,
-15,115,-0.152441,0.0358767,
-15,117.5,-0.123718,-0.0631037,
-15,120,-0.108937,-0.130023,
-15,122.5,-0.0805677,-0.0903295,
-15,125,-0.0241072,0.0392867,
-15,127.5,0.0440075,0.172424,
-15,130,0.0819027,0.230428,
-15,132.5,0.0574228,0.206529,
-15,135,-0.0273065,0.145204,
-15,137.5,-0.128479,0.0956243,
-15,140,-0.214541,0.0198244,
-15,142.5,-0.278186,-0.0852021,
-15,145,-0.313864,-0.205028,
-15,147.5,-0.331763,-0.315736,
-15,150,-0.355162,-0.390708,
-15,152.5,-0.406624,-0.408481,
-15,155,-0.495834,-0.355398,
-15,157.5,-0.629286,-0.208294,
-15,160,-0.808917,0.0403308,
-15,162.5,-0.917205,0.289919,
-15,165,-0.923929,0.442561,
-15,167.5,-0.859937,0.457265,
-15,170,-0.759207,0.368429,
-15,172.5,-0.645888,0.255637,
-15,175,-0.539126,0.191162,
-15,177.5,-0.455598,0.190654,
-15,180,-0.396706,0.191526,
-15,182.5,-0.358388,0.108459,
-15,185,-0.357948,-0.029816,
-15,187.5,-0.398241,-0.135395,
-15,190,-0.436244,-0.170638,
-15,192.5,-0.436027,-0.172997,
-15,195,-0.408036,-0.196824,
-15,197.5,-0.397283,-0.249855,
-15,200,-0.431077,-0.281453,
-15,202.5,-0.484964,-0.259078,
-15,205,-0.562017,-0.205144,
-15,207.5,-0.691522,-0.158481,
-15,210,-0.819839,-0.0976583,
-15,212.5,-0.872579,0.00519735,
-15,215,-0.841521,0.145507,
-15,217.5,-0.784993,0.283797,
-15,220,-0.753762,0.367551,
-15,222.5,-0.722242,0.374225,
-15,225,-0.67261,0.381331,
-15,227.5,-0.643098,0.45811,
-15,230,-0.624534,0.501819,
-15,232.5,-0.59324,0.47573,
-15,235,-0.537583,0.463479,
-15,237.5,-0.487647,0.474707,
-15,240,-0.474878,0.464061,
-15,242.5,-0.50018,0.408522,
-15,245,-0.543119,0.356232,
-15,247.5,-0.599074,0.428114,
-15,250,-0.608916,0.580363,
-15,252.5,-0.520074,0.615111,
-15,255,-0.427426,0.594205,
-15,257.5,-0.339645,0.627955,
-15,260,-0.218452,0.645894,
-15,262.5,-0.0740586,0.577854,
-15,265,0.039648,0.470981,
-15,267.5,0.112657,0.394859,
-15,270,0.157658,0.31337,
-15,272.5,0.108249,0.182362,
-15,275,0.00271775,0.0799794,
-15,277.5,-0.0140984,0.0982612,
-15,280,0.0134732,0.214535,
-15,282.5,-0.0198189,0.260985,
-15,285,-0.0319691,0.184173,
-15,287.5,0.0675033,0.0660614,
-15,290,0.0475113,-0.0800147,
-15,292.5,-0.0276091,-0.183061,
-15,295,-0.0200424,-0.0715232,
-15,297.5,-0.0260832,0.0951806,
-15,300,-0.00657418,0.252396,
-15,302.5,0.0306263,0.375394,
-15,305,0.0921823,0.422454,
-15,307.5,0.158897,0.404617,
-15,310,0.22694,0.372428,
-15,312.5,0.366977,0.318535,
-15,315,0.490204,0.203585,
-15,317.5,0.583464,0.145459,
-15,320,0.648413,0.130782,
-15,322.5,0.835612,0.160855,
-15,325,1.07711,0.14768,
-15,327.5,1.2548,0.0675697,
-15,330,1.30834,-0.0390617,
-15,332.5,1.25818,-0.129947,
-15,335,1.16009,-0.209424,
-15,337.5,1.04803,-0.30317,
-15,340,0.913502,-0.41103,
-15,342.5,0.7559,-0.4922,
-15,345,0.579997,-0.525368,
-15,347.5,0.38866,-0.529097,
-15,350,0.191422,-0.520638,
-15,352.5,0.014984,-0.490216,
-15,355,-0.121767,-0.399806,
-15,357.5,-0.248173,-0.217029,
-12.5,40,-0.242729,-0.380706,
-12.5,42.5,-0.260483,-0.357767,
-12.5,45,-0.253259,-0.295652,
-12.5,47.5,-0.213012,-0.293157,
-12.5,50,-0.0883551,-0.332398,
-12.5,52.5,0.0549358,-0.375578,
-12.5,55,0.139775,-0.358892,
-12.5,57.5,0.139632,-0.278423,
-12.5,60,0.0757243,-0.188278,
-12.5,62.5,-0.00683634,-0.143463,
-12.5,65,-0.0618646,-0.143787,
-12.5,67.5,-0.063398,-0.158939,
-12.5,70,-0.0468676,-0.177504,
-12.5,72.5,-0.0643181,-0.232814,
-12.5,75,-0.134022,-0.313997,
-12.5,77.5,-0.232762,-0.367196,
-12.5,80,-0.325227,-0.364689,
-12.5,82.5,-0.392575,-0.319205,
-12.5,85,-0.435306,-0.257798,
-12.5,87.5,-0.454213,-0.187771,
-12.5,90,-0.441814,-0.105384,
-12.5,92.5,-0.408214,-0.0391121,
-12.5,95,-0.383016,-0.00642657,
-12.5,97.5,-0.366411,0.0148836,
-12.5,100,-0.348876,0.0490702,
-12.5,102.5,-0.324015,0.0896224,
-12.5,105,-0.289664,0.108279,
-12.5,107.5,-0.241402,0.0848013,
-12.5,110,-0.171223,0.031454,
-12.5,112.5,-0.0926556,-0.0188598,
-12.5,115,-0.089294,-0.0591592,
-12.5,117.5,-0.166026,-0.0878358,
-12.5,120,-0.263575,-0.0771502,
-12.5,122.5,-0.310826,0.00642695,
-12.5,125,-0.275755,0.150477,
-12.5,127.5,-0.186591,0.290351,
-12.5,130,-0.11369,0.350854,
-12.5,132.5,-0.117605,0.308217,
-12.5,135,-0.183823,0.21445,
-12.5,137.5,-0.23298,0.111949,
-12.5,140,-0.261303,-0.0265516,
-12.5,142.5,-0.306288,-0.155875,
-12.5,145,-0.36266,-0.25419,
-12.5,147.5,-0.419353,-0.305105,
-12.5,150,-0.476912,-0.296434,
-12.5,152.5,-0.546543,-0.223534,
-12.5,155,-0.637786,-0.0904717,
-12.5,157.5,-0.747399,0.092347,
-12.5,160,-0.842874,0.244655,
-12.5,162.5,-0.83725,0.326234,
-12.5,165,-0.731479,0.339166,
-12.5,167.5,-0.584137,0.292312,
-12.5,170,-0.466017,0.207406,
