Latitude [degrees_north],Longitude [degrees_east],u-velocity [m/s],v-velocity [m/s]
-15,75,0.0408611,-1.39556,
-15,77.5,0.110691,-1.39852,
-15,80,0.182865,-1.30093,
-15,82.5,0.217986,-1.11698,
-15,85,0.232349,-0.904285,
-15,87.5,0.251405,-0.718763,
-15,90,0.253593,-0.612044,
-15,92.5,0.240295,-0.66281,
-15,95,0.221411,-0.806265,
-15,97.5,0.160186,-0.916177,
-15,100,0.0723686,-0.898923,
-15,102.5,-0.00325823,-0.755903,
-15,105,-0.0526034,-0.552682,
-15,107.5,-0.0910912,-0.366712,
-15,110,-0.124762,-0.231805,
-15,112.5,-0.12717,-0.0438194,
-15,115,-0.113506,0.355192,
-15,117.5,-0.0213935,0.718253,
-15,120,0.240926,0.6831,
-15,122.5,0.504241,0.206035,
-15,125,0.583451,-0.322518,
-15,127.5,0.509297,-0.624687,
-15,130,0.47281,-0.765617,
-15,132.5,0.559056,-0.887287,
-15,135,0.697188,-1.06316,
-15,137.5,0.597375,-1.1311,
-15,140,0.327156,-1.0227,
-15,142.5,0.0684501,-0.846376,
-15,145,-0.113767,-0.652758,
-15,147.5,-0.284598,-0.420948,
-15,150,-0.486802,-0.155231,
-15,152.5,-0.651444,0.053968,
-15,155,-0.663177,0.0929964,
-15,157.5,-0.534592,0.041936,
-15,160,-0.495764,0.0869665,
-15,162.5,-0.55157,0.0977811,
-15,165,-0.580076,-0.0049462,
-15,167.5,-0.488286,-0.167181,
-15,170,-0.311027,-0.345228,
-15,172.5,-0.164997,-0.542458,
-15,175,-0.138993,-0.7356,
-15,177.5,-0.210521,-0.798325,
-15,180,-0.288142,-0.641036,
-15,182.5,-0.309502,-0.458571,
-15,185,-0.327739,-0.489201,
-15,187.5,-0.404529,-0.63805,
-15,190,-0.539032,-0.727645,
-15,192.5,-0.669719,-0.675329,
-15,195,-0.733178,-0.514406,
-15,197.5,-0.71573,-0.328543,
-15,200,-0.656263,-0.174453,
-15,202.5,-0.581255,-0.0733655,
-15,205,-0.500237,-0.0378644,
-15,207.5,-0.480297,-0.0234067,
-15,210,-0.525932,-0.0133536,
-15,212.5,-0.561109,0.00322087,
-15,215,-0.534342,0.0352785,
-15,217.5,-0.459691,0.0813938,
-15,220,-0.393786,0.116296,
-15,222.5,-0.381262,0.114093,
-15,225,-0.433244,0.184462,
-15,227.5,-0.523868,0.444889,
-15,230,-0.565549,0.690421,
-15,232.5,-0.520446,0.757765,
-15,235,-0.413601,0.684937,
-15,237.5,-0.319028,0.597361,
-15,240,-0.2606,0.541358,
-15,242.5,-0.190221,0.495126,
-15,245,-0.0783734,0.504643,
-15,247.5,-0.0246569,0.6093,
-15,250,0.014239,0.615271,
-15,252.5,0.0440612,0.44385,
-15,255,0.133055,0.325329,
-15,257.5,0.339,0.287722,
-15,260,0.568896,0.153423,
-15,262.5,0.720547,-0.0954436,
-15,265,0.789349,-0.267525,
-15,267.5,0.800168,-0.274356,
-15,270,0.600819,-0.211054,
-15,272.5,0.242931,-0.245832,
-15,275,-0.0307488,-0.183837,
-15,277.5,-0.221585,0.0335343,
-15,280,-0.311246,0.146176,
-15,282.5,-0.305211,0.19389,
-15,285,-0.218816,0.15135,
-15,287.5,-0.101395,-0.0387663,
-15,290,-0.0606943,-0.0840694,
-15,292.5,-0.116274,-0.0931799,
-15,295,-0.112438,0.299364,
-15,297.5,-0.163454,0.283278,
-15,300,-0.22374,0.271506,
-15,302.5,-0.210816,0.356164,
-15,305,-0.206107,0.366839,
-15,307.5,-0.274649,0.30891,
-15,310,-0.407681,0.303586,
-15,312.5,-0.61535,0.222957,
-15,315,-0.71993,0.284966,
-15,317.5,-0.696097,0.519802,
-15,320,-0.515703,0.654367,
-15,322.5,-0.245383,0.687666,
-15,325,0.0142663,0.6753,
-15,327.5,0.230347,0.637681,
-15,330,0.40321,0.56764,
-15,332.5,0.516027,0.450465,
-15,335,0.533304,0.272303,
-15,337.5,0.458025,0.0558205,
-15,340,0.289938,-0.12482,
-15,342.5,0.0559424,-0.169929,
-15,345,-0.125615,-0.120553,
-15,347.5,-0.193135,-0.146825,
-15,350,-0.25196,-0.317451,
-15,352.5,-0.447784,-0.513893,
-15,355,-0.80977,-0.535956,
-15,357.5,-1.21594,-0.306413,
-12.5,40,0.191845,1.34066,
-12.5,42.5,0.298663,1.17371,
-12.5,45,0.308318,0.96538,
-12.5,47.5,0.201796,0.98877,
-12.5,50,0.0130588,1.19674,
-12.5,52.5,-0.269545,1.2956,
-12.5,55,-0.547406,1.05267,
-12.5,57.5,-0.736181,0.535905,
-12.5,60,-0.856525,-0.0363458,
-12.5,62.5,-0.946961,-0.521421,
-12.5,65,-0.918777,-0.938512,
-12.5,67.5,-0.736844,-1.2977,
-12.5,70,-0.550474,-1.44001,
-12.5,72.5,-0.444953,-1.47897,
-12.5,75,-0.370002,-1.44066,
-12.5,77.5,-0.301836,-1.33302,
-12.5,80,-0.252309,-1.18643,
-12.5,82.5,-0.233386,-1.02773,
-12.5,85,-0.235585,-0.865626,
-12.5,87.5,-0.237142,-0.712425,
-12.5,90,-0.218907,-0.613723,
-12.5,92.5,-0.147377,-0.602569,
-12.5,95,-0.0553053,-0.612984,
-12.5,97.5,-0.0565354,-0.582598,
-12.5,100,-0.17968,-0.488501,
-12.5,102.5,-0.339908,-0.358652,
-12.5,105,-0.437475,-0.248107,
-12.5,107.5,-0.428593,-0.195855,
-12.5,110,-0.318821,-0.178688,
-12.5,112.5,-0.133665,-0.0792977,
-12.5,115,0.076534,0.20599,
-12.5,117.5,0.38137,0.432249,
-12.5,120,0.846168,0.340723,
-12.5,122.5,1.26382,-0.0719277,
-12.5,125,1.33951,-0.578496,
-12.5,127.5,1.01491,-0.93452,
-12.5,130,0.559698,-1.05537,
-12.5,132.5,0.331094,-1.03769,
-12.5,135,0.375676,-1.01099,
-12.5,137.5,0.316332,-0.90369,
-12.5,140,0.04825,-0.708347,
-12.5,142.5,-0.353194,-0.455049,
-12.5,145,-0.732507,-0.183106,
-12.5,147.5,-1.00307,0.0700324,
-12.5,150,-1.11457,0.238531,
-12.5,152.5,-1.03224,0.250022,
-12.5,155,-0.783262,0.11889,
-12.5,157.5,-0.488222,0.0561109,
-12.5,160,-0.270599,0.140145,
-12.5,162.5,-0.113246,0.0809382,
-12.5,165,0.0400923,-0.203583,
-12.5,167.5,0.215912,-0.516099,
-12.5,170,0.380348,-0.704129,
-12.5,172.5,0.461304,-0.782468,
-12.5,175,0.402158,-0.844229,
-12.5,177.5,0.21441,-0.888809,
-12.5,180,-0.0147956,-0.832988,
-12.5,182.5,-0.18193,-0.689008,
-12.5,185,-0.30681,-0.632942,
-12.5,187.5,-0.425913,-0.639799,
-12.5,190,-0.539189,-0.619168,
-12.5,192.5,-0.644427,-0.529668,
-12.5,195,-0.746718,-0.390051,
-12.5,197.5,-0.843801,-0.240271,
-12.5,200,-0.904271,-0.103565,
-12.5,202.5,-0.871722,0.00159098,
-12.5,205,-0.739884,0.0316602,
-12.5,207.5,-0.644561,0.0418304,
-12.5,210,-0.62767,0.0846185,
-12.5,212.5,-0.62739,0.144751,
-12.5,215,-0.595307,0.189144,
-12.5,217.5,-0.540229,0.213823,
-12.5,220,-0.506009,0.229665,
-12.5,222.5,-0.516296,0.234399,
-12.5,225,-0.54473,0.32381,
-12.5,227.5,-0.558271,0.508523,
-12.5,230,-0.558766,0.607542,
-12.5,232.5,-0.509129,0.557039,
-12.5,235,-0.433427,0.458767,
-12.5,237.5,-0.360054,0.428506,
-12.5,240,-0.293576,0.466299,
-12.5,242.5,-0.216103,0.504669,
-12.5,245,-0.117549,0.554096,
-12.5,247.5,-0.052626,0.62807,
-12.5,250,0.0852995,0.590842,
-12.5,252.5,0.191295,0.373481,
-12.5,255,0.263716,0.198028,
-12.5,257.5,0.403319,0.116493,
-12.5,260,0.496005,0.0125096,
-12.5,262.5,0.47336,-0.142877,
-12.5,265,0.426773,-0.190936,
-12.5,267.5,0.399424,0.0127551,
-12.5,270,0.229003,0.210271,
-12.5,272.5,0.00111453,0.0993051,
-12.5,275,-0.104752,0.067088,
-12.5,277.5,-0.142782,0.18258,
-12.5,280,-0.0659429,0.222989,
-12.5,282.5,-0.00335598,0.0631397,
-12.5,285,-0.0133309,-0.110752,
-12.5,287.5,-0.0561666,-0.100514,
-12.5,290,-0.200927,-0.0652904,
-12.5,292.5,-0.350511,0.263661,
-12.5,295,-0.176836,0.41417,
-12.5,297.5,-0.199866,0.353473,
-12.5,300,-0.126582,0.359362,
-12.5,302.5,-0.0752602,0.309195,
-12.5,305,-0.142342,0.249544,
-12.5,307.5,-0.305013,0.290382,
-12.5,310,-0.504754,0.408687,
-12.5,312.5,-0.71832,0.471441,
-12.5,315,-0.783729,0.513069,
-12.5,317.5,-0.614124,0.612974,
-12.5,320,-0.40167,0.627125,
-12.5,322.5,-0.13949,0.591753,
-12.5,325,0.0736108,0.558496,
-12.5,327.5,0.211319,0.538016,
-12.5,330,0.295313,0.517665,
-12.5,332.5,0.339681,0.47356,
-12.5,335,0.336321,0.36856,
-12.5,337.5,0.253921,0.198822,
-12.5,340,0.107722,0.0389934,
-12.5,342.5,-0.0230304,-0.0216078,
-12.5,345,-0.0567793,-0.0241405,
-12.5,347.5,-0.0131406,-0.0793149,
-12.5,350,-0.0268392,-0.205721,
-12.5,352.5,-0.218808,-0.282415,
-12.5,355,-0.560965,-0.150803,
-12.5,357.5,-0.852876,0.195588,
-10,40,0.524047,1.24756,
-10,42.5,0.632335,1.15062,
-10,45,0.674226,0.967273,
-10,47.5,0.415886,1.03857,
-10,50,-0.0549223,1.2861,
-10,52.5,-0.556397,1.37599,
-10,55,-0.923598,1.05312,
-10,57.5,-1.15198,0.409554,
-10,60,-1.31856,-0.324909,
-10,62.5,-1.4404,-1.00591,
-10,65,-1.41788,-1.58924,
-10,67.5,-1.19826,-1.9569,
-10,70,-0.874096,-1.9862,
-10,72.5,-0.616651,-1.85276,
-10,75,-0.472737,-1.62513,
-10,77.5,-0.437235,-1.39532,
-10,80,-0.457693,-1.20153,
-10,82.5,-0.473625,-1.01814,
-10,85,-0.45225,-0.811043,
-10,87.5,-0.396235,-0.606577,
-10,90,-0.312676,-0.472352,
-10,92.5,-0.200763,-0.371124,
-10,95,-0.0778386,-0.263439,
-10,97.5,-0.0210102,-0.175961,
-10,100,-0.0697665,-0.123374,
-10,102.5,-0.170412,-0.121138,
-10,105,-0.243246,-0.18353,
-10,107.5,-0.246394,-0.295808,
-10,110,-0.17853,-0.383023,
-10,112.5,-0.0310448,-0.33172,
-10,115,0.192892,-0.0885924,
-10,117.5,0.527529,0.110897,
-10,120,0.968409,0.0631818,
-10,122.5,1.32595,-0.226564,
-10,125,1.35872,-0.574982,
-10,127.5,1.00459,-0.787396,
-10,130,0.476503,-0.799568,
-10,132.5,0.113598,-0.692669,
-10,135,0.00201432,-0.539553,
-10,137.5,-0.139435,-0.325941,
-10,140,-0.387721,-0.0491972,
-10,142.5,-0.653971,0.197849,
-10,145,-0.821986,0.379544,
-10,147.5,-0.813575,0.449739,
-10,150,-0.61072,0.373019,
-10,152.5,-0.272943,0.15333,
-10,155,0.0743888,-0.138112,
-10,157.5,0.367851,-0.270461,
-10,160,0.630633,-0.225175,
-10,162.5,0.876373,-0.309129,
-10,165,1.023,-0.56812,
-10,167.5,1.01204,-0.821035,
